Culture,Image,Class
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1036.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1038.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1039.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_104.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1040.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1041.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1042.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1043.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1044.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1045.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1046.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1047.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1048.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1049.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1050.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1051.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1052.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1053.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1054.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1055.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1056.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1057.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1058.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_106.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1060.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1061.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1062.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1063.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1065.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1066.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1067.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1068.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1069.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_107.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1070.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1071.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1072.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1073.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1074.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1075.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1076.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1077.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1078.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1079.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_108.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1080.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1081.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1082.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1083.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1084.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1085.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1086.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1087.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1089.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_109.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1090.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1091.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1093.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1095.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1096.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1097.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1098.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1099.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_11.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_110.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1100.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1101.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1102.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1103.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1105.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1106.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1108.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1109.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_111.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1110.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1112.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1113.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1114.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1115.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1116.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1117.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1118.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1119.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_112.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1120.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1121.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1122.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1123.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1124.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1126.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1127.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1128.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_113.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1130.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1131.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1132.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1133.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1134.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1135.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1136.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1137.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1138.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1140.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1142.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1143.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1145.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1146.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1147.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1148.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1149.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_115.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1150.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1151.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1153.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1155.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1156.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1157.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1158.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1159.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_116.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1160.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1161.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1162.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1163.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1164.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1165.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1166.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1167.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1168.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1169.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1170.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1171.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1172.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1173.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1174.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1175.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1176.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1177.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1178.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1179.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_118.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1180.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1181.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1182.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1183.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1184.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1185.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1186.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1187.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1188.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1189.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_119.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1190.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1191.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1192.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1193.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1197.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1198.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1199.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_12.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1200.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1204.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1207.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1208.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1209.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1210.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1211.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1212.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1213.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1214.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1215.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1216.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1217.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1218.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1219.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_122.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1220.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1221.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1222.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1223.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1224.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1225.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1226.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1227.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1229.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_123.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1230.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1231.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1232.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1233.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1234.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1235.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1236.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1239.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_124.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1240.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1241.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1242.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1243.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1244.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1245.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1246.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1247.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1248.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1249.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_125.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1250.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1251.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1253.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1254.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1256.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1258.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_126.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1261.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1263.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1264.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1267.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1268.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_127.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1270.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1271.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1272.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1273.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1275.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1276.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1278.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_128.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1281.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1282.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1284.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1287.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1289.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_129.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1292.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1294.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1298.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_13.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_130.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1301.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1302.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1303.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1304.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1306.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_131.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1313.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1314.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1315.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1316.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1318.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_132.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1320.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1321.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1322.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1323.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1324.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1326.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1327.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1328.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1330.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1331.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1332.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1333.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1334.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1335.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1336.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1337.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1338.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1339.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_134.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1340.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1341.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1342.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1344.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1346.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1347.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1348.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1349.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_135.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1350.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1352.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1353.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1354.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1355.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1356.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1357.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1358.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1359.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_136.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1360.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1361.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1362.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1363.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1364.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1365.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1367.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_137.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1370.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1371.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1372.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1373.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1375.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1376.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1377.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1378.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1379.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_138.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1380.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1381.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1383.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1384.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1385.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1386.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1387.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1389.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_139.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1390.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1391.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1392.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1394.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1395.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1396.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1397.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1398.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1399.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_14.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_140.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1400.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1401.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1402.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1403.jpeg,1
C,..\..\..\FINALDS\originals\carpets\indian\with\image_1405.jpeg,1
